Date,RSI_DNN,RSI_HGEN,RSI_ICLN,RSI_OCGN,RSI_VGT,RSI_VUZI,RSI_XLV,RSI_^NBI
2014-12-03,,,,,,,,
2014-12-04,,,,,,,,
2014-12-05,,,,,,,,
2014-12-08,,,,,,,,
2014-12-09,,,,,,,,
2014-12-10,,,,,,,,
2014-12-11,,,,,,,,
2014-12-12,,,,,,,,
2014-12-15,,,,,,,,
2014-12-16,,,,,,,,
2014-12-17,,,,,,,,
2014-12-18,,,,,,,,
2014-12-19,,,,,,,,
2014-12-22,,,,,,,,
2014-12-23,50.0,40.506330947618906,33.035707443343654,23.68421233264578,49.331350217403994,55.20000457763672,39.59922337334645,41.635376596294584
2014-12-24,47.445259809274845,38.411813566974466,34.29915405055723,17.702510544977176,49.331350217403994,57.74811578049627,42.550953986935525,45.190059004592904
2014-12-26,40.72289361336158,35.00097210445847,37.47531316571432,28.0179517433756,50.97865507192505,60.18678205532018,45.36859359365785,49.85192313164315
2014-12-29,43.59192796467518,36.7296492807039,36.34017502656868,32.82904375464247,48.455588884433084,66.4440197454088,46.74632291456969,50.931853237476965
2014-12-30,39.47662207729803,40.15757897649597,34.82547255345097,28.559545363713106,45.6452128033274,74.93032652960606,45.21149543380428,48.3199581643022
2014-12-31,35.83353853957036,48.43184388096332,34.82547255345098,40.580368967483,41.190819427723206,73.03589019066824,41.81121643693054,47.855450499395396
2015-01-02,50.57086034228509,56.14867991653738,39.90889763306965,41.92944254754964,40.31422045131527,66.26956096269485,43.47010763901986,49.82429126902416
2015-01-05,40.542948826366526,55.46115383853019,31.8763245353339,57.51224101096477,34.42924354417718,81.5823476093759,41.6786636392812,49.493211060206676
2015-01-06,40.54294882636653,54.0360455576134,31.231615232555153,42.94923864564233,30.852541943119537,83.6310460886116,40.49758200693188,45.51131609252817
2015-01-07,44.77629127453799,19.212666365511247,37.370361746812044,43.64772441711954,35.753267385848275,77.0011976928795,50.91775704380035,54.01387046533769
2015-01-08,48.70912950283175,19.212666365511247,49.72243651554795,49.17624806453767,46.23945584439892,78.21418655922375,56.9554223386168,55.92771385463215
2015-01-09,45.23950081147079,18.995908387701572,48.38208746551448,48.098303452345434,45.30461861603337,79.81894395328737,53.222747216624136,54.998496656514796
2015-01-12,45.2395008114708,18.995908387701572,41.547303903854555,46.37789119284423,40.94623786892324,79.51857245489646,53.37942677360403,56.19721731503731
2015-01-13,45.23950081147079,18.99590838770157,43.075545436230264,42.37170816535041,40.88207503066216,79.76459644320886,51.46121295558148,56.31976377480656
2015-01-14,35.70884341300306,18.86300915317448,44.12435472130219,40.02722590496685,38.84936829924172,68.78950168521743,50.76410292755264,56.62863844917918
2015-01-15,34.40779084239778,18.582986199691078,39.083572808851926,39.473774761994804,34.2367331798462,61.19251886936935,46.17162263744367,48.91408054798328
2015-01-16,39.18061836616481,19.22863419400651,43.37095762972494,35.86862816740306,39.17255776607568,68.35548124090188,53.948452618725554,57.12021342328325
2015-01-20,37.70335421753373,18.59347254822919,41.409302193706175,38.76835355215952,42.72638393418421,73.3781641187695,53.94845261872554,60.579121988915716
2015-01-21,36.23217376413256,18.593472548229187,47.541718478965194,29.32277144368652,43.613339879225386,71.20474984616682,54.76469654255931,56.71612192752269
2015-01-22,36.23217376413256,18.41708594360499,49.441318333168056,21.464337212891547,51.81796357966124,63.14766130349669,59.4130398204924,58.244979374648
2015-01-23,33.22505215419583,19.24212528482124,51.33895970736055,24.549281094211047,52.9207596907884,65.26408256178749,56.368350684037125,59.421621761196675
2015-01-26,38.70372499835828,18.43886761188469,63.50797231379824,23.111528142312228,51.56218056429736,72.82676770699123,58.43828092142252,62.96319888104489
2015-01-27,38.70372499835828,20.231888403319253,64.93866040442389,20.340474562576098,40.62141162146744,74.172478357507,54.593685195413514,60.91974452504542
2015-01-28,35.34086807846117,19.995197016598325,55.55610088638656,17.424028901005865,40.19561858383285,62.504973572857146,47.81782767185965,53.913747392144586
2015-01-29,33.761330837048106,20.99062386267949,57.851465739806244,31.730425292508162,44.61660578993452,64.80467111051257,51.56271912375785,56.76271007219498
2015-01-30,36.80314586077252,20.71308565857554,55.218952508561756,36.63375969430857,40.044026997611084,66.67948263365314,45.06865564819726,55.56928920254121
2015-02-02,39.78123524479233,20.139548145642127,62.039799364330705,35.55873213539594,43.88236881488831,67.41103136190289,47.589029310744294,53.64591048406749
2015-02-03,45.33011261001847,21.31275889583988,68.78847373095758,31.43075531707459,48.92426680959972,65.01966142297952,50.534478230601806,51.993328359215816
2015-02-04,45.33011261001847,20.9808250660584,66.59031305462798,33.634622762302584,49.54420971141812,62.13715274312089,45.39082765369149,46.5415457981108
2015-02-05,50.608443999622146,20.980825066058397,68.53912877404007,35.601422664547286,53.53034346012622,59.62535193439697,52.337112241971106,53.53863971764849
2015-02-06,50.60844399962213,25.042609982408877,62.83745786344159,35.2266624002212,51.76854502058331,60.42924354107693,48.68877569990169,49.8347092406816
2015-02-09,47.92524150424952,24.588891151022345,63.34270615395956,40.85841209402516,50.74088142629708,62.605635771618154,44.416598592153576,47.47274773151616
2015-02-10,47.92524150424953,24.118305489676438,65.1295941622272,42.14814430153736,56.75074810882382,61.45613349612983,50.970610589824595,51.92318782834754
2015-02-11,50.94179796614019,24.118305489676438,63.23276923126424,44.49452815264786,58.29624869680793,61.05372052773653,51.34345262553921,51.0750906532398
2015-02-12,50.94179796614019,23.594606364112394,68.00012045355905,45.15989736132703,63.611249242462065,60.8392168793558,52.726121436265885,53.99226439506681
2015-02-13,56.752657691415486,32.99561708107335,69.13430953828585,44.35819212692645,66.03948980541405,59.05173029921904,54.29273863867389,56.63160361854135
2015-02-17,61.64518581415385,41.96695673982379,68.61056687200764,47.103124835790965,66.17915984507789,63.26509691636151,57.08255764633346,59.240334867662
2015-02-18,63.847440984851254,37.35069222896916,66.44214534103595,45.45098576478104,66.76797667111009,63.02427416366483,57.5205244276787,61.45669709859576
2015-02-19,53.85678280817381,38.56363910242868,61.71588120115851,49.82469742131551,68.05564340675397,63.76692543796039,58.20949757029869,63.48353564809379
2015-02-20,46.08997400473272,37.01989481968084,63.576041241583155,57.52639112387946,70.06038954257662,57.54365470190444,62.32250870231909,66.64529034586508
2015-02-23,46.089974004732724,37.01989481968084,63.89095734459642,61.469264878299,70.0603895425766,51.29045389833436,64.00134494962236,67.88155476755651
2015-02-24,46.08997400473273,35.37744111949886,65.18747250358527,61.15573068958452,70.88946216297553,42.82280100795517,63.17454870713074,64.02997895262365
2015-02-25,51.86942374439237,38.324283079938844,71.29270504442358,55.93270221770427,66.76016371334724,41.036060902869146,62.88296114749022,67.20477963343544
2015-02-26,44.212752289484406,46.24394062275436,71.2927050444236,59.54418162896119,69.08073999290917,40.88297240200024,64.07350702943873,68.17780153218396
2015-02-27,44.21275228948441,50.78142199462635,72.56109069129252,66.0003256979544,64.85940000689217,49.76323912648366,60.421022764692225,63.11433501155733
2015-03-02,44.21275228948441,54.8826654287095,76.38198163320932,68.37350408212667,68.53640123098737,45.11853573905522,64.47161254839718,65.25644445512181
2015-03-03,44.21275228948441,63.81281153095942,78.8117707208195,67.07240036292531,62.70524606669178,43.25517458710898,57.98280963092498,62.48876800332369
2015-03-04,41.46826591119011,67.58197442809625,83.23980202107846,63.03552566852068,60.30019925446752,51.36651050696427,60.2666251247373,64.34699230990238
2015-03-05,41.4682659111901,59.761342704168776,87.95998767495806,60.675845249076254,60.03217717189001,45.45734913401303,61.9223451601838,70.01041024478147
2015-03-06,38.68338059083199,55.78849034760749,72.48874498926016,58.32456705089824,52.32856291921598,44.72822732285323,49.66409908561201,62.49404172588893
2015-03-09,33.79506332819082,54.80754102632215,68.07724100328193,53.149143249237675,54.62278887965664,45.85065027673519,52.762691877332635,62.93912232505192
2015-03-10,28.065905044215185,47.5971603647881,59.656124129407,52.01305445798693,43.82193161748673,47.570537199914064,47.08707579724401,60.89443419859132
2015-03-11,28.065905044215185,51.063756077616205,62.00604405552481,48.78440934510243,41.43080583258124,45.99719678931907,46.815902712947505,61.823039100944555
2015-03-12,32.49027222670763,50.17020693823488,63.587336120712436,49.662233308894855,44.94486010051496,49.77388076353476,53.58109248526547,63.906380536084775
2015-03-13,30.47190289993782,46.653508066624305,58.35616419646398,43.3886482437521,42.58628610352958,51.87240391563375,52.50976164432276,64.42228987591706
2015-03-16,28.561137078196587,44.95668055645447,61.04076274157202,53.03953635869342,49.321973560562824,54.82876288413942,61.841457405485336,70.97542531655068
2015-03-17,33.08018847856788,46.01395943276061,62.34774980870055,58.03149176539306,49.87054910049954,44.22374185718495,60.16006758380238,72.7005931757768
2015-03-18,41.104528608066055,48.15870348556493,64.5437054339929,57.744078093906445,55.899477027587764,49.64865107239082,64.81994701057941,73.97245291080172
2015-03-19,31.073080655290518,48.15870348556492,62.57849538067568,54.54397600786086,55.39890357156001,45.95806090591193,66.71753865688778,77.70715965452955
2015-03-20,37.62992526293996,47.07423572823872,66.26567264937268,45.83927662489752,58.17745622493371,45.171946696984605,68.13794412214983,78.59873896652122
2015-03-23,35.79634712733284,45.9596756171068,66.61986178200331,49.20645587231264,58.31281490192766,48.934600997718846,66.20173611284251,65.69801232029462
2015-03-24,38.997443750525626,44.8169365658173,68.57424383005991,49.51940005885974,56.34918502404147,48.04686812142493,60.473634476496976,62.350918276483114
2015-03-25,44.913089270981146,42.53884327533115,61.8393513078218,45.365569610114456,41.426432816797835,42.85586645428939,50.66794356718706,47.08524571263583
2015-03-26,42.684261220472955,39.31095950050305,57.36841486345814,38.508961703572176,41.816219770630795,40.862103123478036,49.57772429074853,46.80994397221249
2015-03-27,38.56249427165099,37.279994177956524,58.06802298160824,49.50734266178035,43.324853217668405,38.488774255363396,52.914992301083096,52.720409065801356
2015-03-30,36.65650101888174,42.11123561029985,63.63754116915601,44.38685873287576,49.7950700235966,45.89216098965651,57.25111598796925,55.828491328009136
2015-03-31,36.65650101888174,42.11123561029986,62.60426045176689,52.57674037897186,47.23040442825283,42.29003629792639,48.86796903970204,48.99190843272023
2015-04-01,40.090658110768736,38.65774313646228,65.97556835056263,49.86278200786677,43.37226262578672,43.1261194725724,44.8357207790549,46.35762563750979
2015-04-02,43.39552202591304,46.5284929975846,67.46215496525404,51.71395592538711,43.327445137983425,46.071048715171784,46.27448128255618,45.665333523741445
2015-04-06,46.56970037712964,45.277224749601366,68.92434658719347,48.98698739674485,48.95414190002313,47.93736263496006,47.0185433105635,45.07758506606513
2015-04-07,43.91752017621926,41.65783952871951,69.65853370048343,49.49910349119315,48.32778876508708,43.60383133723339,48.21222789307296,48.213532606008165
2015-04-08,39.11905232761105,44.824455561407426,72.30132853528069,50.357804542733305,50.488127433442365,42.56779812230875,52.359940831144655,56.837684293009424
2015-04-09,42.501830254529125,46.39121568631905,76.42858877579104,43.74863513516658,52.94140566249125,46.23632251198613,55.79748257133015,57.99002318624811
2015-04-10,42.501830254529125,53.50097404007841,73.88790441102044,43.65514129114646,55.47908999933257,62.737374237574805,59.410328679423344,60.99682606119856
2015-04-13,45.982749329309534,64.61838890590799,74.64433749119465,39.31255003525303,52.556803075528194,58.776489018313086,56.26586316425869,61.57029012248866
2015-04-14,49.28893558365168,52.36186996889365,72.38610486745021,39.31255003525303,50.094061659169775,54.53861528626639,57.00111641628982,60.572418731427746
2015-04-15,63.66064481389373,49.33842662600486,74.84483281598769,38.38985467470006,55.659280319117144,55.40430281212995,58.199452549832486,63.1284130430881
2015-04-16,52.89759680271479,54.09585676932384,75.92226302471724,37.44342707604793,54.183496045219414,54.10973763182505,57.83402580198281,63.98517121630739
2015-04-17,50.59460445870398,51.99265453771579,66.69331584347842,36.76024986899862,44.62621522552614,55.3925580275372,52.187958467126094,57.28775647432305
2015-04-20,54.83025537934558,49.90321779060343,61.34005246618423,32.55648758184892,53.82304208543924,48.62267145961609,55.47906257842343,58.73403449765194
2015-04-21,52.41077372617913,54.79430588777644,63.15978105173762,29.987415866141564,54.248775589547385,51.7144135370848,58.80436818437846,64.21889631124341
2015-04-22,65.51923435994718,52.58281681873036,66.93139538519213,36.25133536082614,58.957498019023156,52.399918266755954,59.600150566011145,62.79430781435674
