,polarity,sentiment,sentiment_rating,subjectivity,tweet,words,date
0,0.0,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,"$biib will break $430 in the premarket imo

$ba $nclh $lac $pcg $shll $rad $ldrs  $penn $et $cost $ccl $amc $eton $rcl $tlnc #safemoon $tsla $ncty $pola  $gme $fsr $idex $sndl $cciv $glbs $endp $bbi $hyln $mara $riot $tsla $ebon $sos $ttcf $ocgn $coin #btc #xrp $dkng $gnog $czr https://t.co/9epui8v24d","['BIIB', 'break', '430', 'premarket', 'imo', 'BA', 'NCLH', 'LAC', 'PCG', 'SHLL', 'RAD', 'LDRS', 'PENN', 'ET', 'COST', 'CCL', 'AMC', 'ETON', 'RCL', 'TLNC', 'SAFEMOON', 'Tsla', 'NCTY', 'POLA', 'GME', 'FSR', 'IDEX', 'SNDL', 'CCIV', 'GLBS', 'ENDP', 'BBI', 'HYLN', 'MARA', 'RIOT', 'TSLA', 'EBON', 'SOS', 'TTCF', 'OCGN', 'COIN', 'BTC', 'XRP', 'DKNG', 'GNOG', 'CZR', 'https', '//t.co/9EPUI8V24d']",2021-06-07 23:59:41+00:00
1,0.3,positive,"Sentiment(polarity=0.3, subjectivity=0.1)",0.1,"if you invested $1000 in $ocgn (ocugen) 6 months ago, it would be worth $29066.67 today. #tickertimemachine 
    https://t.co/4mboqieh4j","['If', 'invested', '1000', 'OCGN', 'Ocugen', '6', 'months', 'ago', 'would', 'worth', '29066.67', 'today', 'tickertimemachine', 'https', '//t.co/4mBoqieH4J']",2021-06-07 23:54:27+00:00
2,0.0,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,@qcapital2020 $ocgn and $enzc 🔥🔥,"['qcapital2020', 'OCGN', 'ENZC', '🔥🔥']",2021-06-07 23:50:03+00:00
3,0.25,positive,"Sentiment(polarity=0.25, subjectivity=0.49999999999999994)",0.49999999999999994,one more trade today. it was either $bngo or $ocgn and i picked the wrong one. still a win. thanks for the heads up @johnnynova77 finding my style w/ @jtraderco in @smallcaproom https://t.co/f8ivvdmkar,"['One', 'trade', 'today', 'It', 'either', 'BNGO', 'OCGN', 'I', 'picked', 'wrong', 'one', 'Still', 'win', 'Thanks', 'heads', 'JohnnyNova77', 'finding', 'style', 'w/', 'jtraderco', 'SmallCapRoom', 'https', '//t.co/f8IvVDMkAR']",2021-06-07 23:48:52+00:00
4,0.625,positive,"Sentiment(polarity=0.625, subjectivity=0.5)",0.5,dope day... took many plays on $aht $clov $ocgn $qs $bbig $tal $sklz $wish and banked today... let’s keep this energy all week! https://t.co/newq0wzl3j,"['Dope', 'day', '...', 'took', 'many', 'plays', 'AHT', 'CLOV', 'OCGN', 'QS', 'BBIG', 'TAL', 'SKLZ', 'WISH', 'banked', 'today', '...', 'let', '’', 'keep', 'energy', 'week', 'https', '//t.co/nEWq0wZl3j']",2021-06-07 23:47:53+00:00
5,-0.0625,neutral,"Sentiment(polarity=-0.0625, subjectivity=0.1875)",0.1875,"$ocgn  out of the 74 other times ocgn was up 17.1% during a trading day, 55% of the time it traded lower by the next day's market close. #coinflip https://t.co/ean3mrrlaj https://t.co/v3aomkmmo2","['OCGN', 'Out', '74', 'times', 'OCGN', '17.1', 'trading', 'day', '55', 'time', 'traded', 'lower', 'next', 'day', ""'s"", 'market', 'close', 'CoinFlip', 'https', '//t.co/eAN3MrRlaj', 'https', '//t.co/V3AomKmmo2']",2021-06-07 23:46:34+00:00
6,0.0,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,$ocgn inverse h&amp;s on monthly!! i think we have completed wave 4 and wave 5 is in progress with the target of around $25!! let’s go💪🚀 https://t.co/h3ph04guak,"['ocgn', 'inverse', 'h', 'amp', 'monthly', 'I', 'think', 'completed', 'wave', '4', 'wave', '5', 'progress', 'target', 'around', '25', 'Let', '’', 'go💪🚀', 'https', '//t.co/H3PH04GUak']",2021-06-07 23:43:47+00:00
7,0.0,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,"$ocgn 4h

in since $8.10, stops raised… now we’re just riding this wave🚀 https://t.co/3a6i5chyxd https://t.co/pmbe2bxeoq","['OCGN', '4H', 'In', 'since', '8.10', 'stops', 'raised…', '’', 'riding', 'wave🚀', 'https', '//t.co/3A6I5ChyXD', 'https', '//t.co/pmBE2BXeOQ']",2021-06-07 23:43:04+00:00
8,0.6000000000000001,positive,"Sentiment(polarity=0.6000000000000001, subjectivity=0.775)",0.775,"a lot of calls but great day for us. made it off of $rmed $atos $arec $bngo $lmnl $amc $ocgn $asxc $aht $fami
join up for free now, link in bio
#pennystocksinvesting #spendwithpennies #penniestomillions #investpenniesnowtoreapmillionslater #forextradermalaysia #forexdubai #amc https://t.co/favtx0kzon","['A', 'lot', 'calls', 'great', 'day', 'us', 'Made', 'rmed', 'atos', 'arec', 'bngo', 'lmnl', 'amc', 'ocgn', 'asxc', 'aht', 'fami', 'Join', 'free', 'link', 'bio', 'pennystocksinvesting', 'spendwithpennies', 'penniestomillions', 'investpenniesnowtoreapmillionslater', 'forextradermalaysia', 'forexdubai', 'amc', 'https', '//t.co/favTx0KzON']",2021-06-07 23:39:46+00:00
9,0.3333333333333333,positive,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5)",0.5,"quick watchlist 🚨

$amc
$enzc 
$lci         @terminatortrade 
$bbig      @ultra_calls 
$aei 
$ocgn 
$clov     🍊 
$aht        @mrzackmorris 
$btc 
$eth 
$rmed 

always have a plan &amp; watch out for news 🗞","['QUICK', 'WATCHLIST', '🚨', 'AMC', 'ENZC', 'LCI', 'TerminatorTrade', 'BBIG', 'Ultra_Calls', 'AEI', 'OCGN', 'CLOV', '🍊', 'AHT', 'MrZackMorris', 'BTC', 'ETH', 'RMED', 'Always', 'plan', 'amp', 'watch', 'news', '🗞']",2021-06-07 23:35:33+00:00
10,0.0,neutral,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,$ocgn can provide financial freedom load up thank me later,"['ocgn', 'provide', 'financial', 'freedom', 'load', 'thank', 'later']",2021-06-07 23:34:09+00:00
