Date,sentiment,polarity_norm
1/23/2017,neutral,1
7/27/2017,negative,0.055555556
7/27/2017,neutral,0.777777778
7/27/2017,positive,0.166666667
7/28/2017,negative,0.166666667
7/28/2017,neutral,0.5
7/28/2017,positive,0.333333333
8/1/2017,neutral,0.857142857
8/1/2017,positive,0.142857143
8/7/2017,negative,0.071428571
8/7/2017,neutral,0.285714286
8/7/2017,positive,0.642857143
8/8/2017,negative,0.1
8/8/2017,neutral,0.6
8/8/2017,positive,0.3
8/9/2017,neutral,1
8/10/2017,neutral,1
8/11/2017,neutral,1
8/12/2017,negative,1
8/14/2017,neutral,1
8/15/2017,neutral,0.333333333
8/15/2017,positive,0.666666667
8/16/2017,neutral,0.5
8/16/2017,positive,0.5
8/17/2017,neutral,0.5
8/17/2017,positive,0.5
8/21/2017,neutral,0.5
8/21/2017,positive,0.5
8/22/2017,positive,1
8/24/2017,neutral,0.857142857
8/24/2017,positive,0.142857143
8/25/2017,neutral,0.888888889
8/25/2017,positive,0.111111111
8/26/2017,neutral,1
8/27/2017,neutral,1
8/28/2017,neutral,1
8/29/2017,neutral,0.5
8/29/2017,positive,0.5
8/30/2017,negative,0.105263158
8/30/2017,neutral,0.263157895
8/30/2017,positive,0.631578947
8/31/2017,neutral,1
9/1/2017,negative,0.5
9/1/2017,neutral,0.25
9/1/2017,positive,0.25
9/2/2017,neutral,1
9/3/2017,neutral,1
9/5/2017,positive,1
9/6/2017,negative,0.142857143
9/6/2017,neutral,0.857142857
9/7/2017,neutral,1
9/8/2017,neutral,0.5
9/8/2017,positive,0.5
9/9/2017,negative,1
9/10/2017,positive,1
9/11/2017,neutral,1
9/12/2017,neutral,1
9/15/2017,negative,0.166666667
9/15/2017,neutral,0.833333333
9/16/2017,neutral,1
9/19/2017,neutral,1
9/21/2017,neutral,1
9/25/2017,neutral,1
9/26/2017,neutral,1
10/3/2017,neutral,1
10/6/2017,neutral,1
10/9/2017,positive,1
10/15/2017,neutral,1
10/21/2017,neutral,1
10/24/2017,negative,0.090909091
10/24/2017,neutral,0.818181818
10/24/2017,positive,0.090909091
10/25/2017,neutral,0.8
10/25/2017,positive,0.2
10/27/2017,neutral,1
10/28/2017,neutral,1
10/30/2017,neutral,1
10/31/2017,neutral,1
11/1/2017,negative,1
11/2/2017,negative,1
11/3/2017,neutral,1
11/5/2017,negative,1
11/10/2017,neutral,1
11/13/2017,neutral,1
11/16/2017,neutral,1
