Date,dnn,negative,neutral,positive,signal
2010-06-03,1.3799999952316284,0.0,1.0,0.0,0.0
2010-06-04,1.3300000429153442,0.0,0.0,1.0,1.0
2010-06-07,1.309999942779541,0.0,1.0,0.0,0.0
2010-06-08,1.2999999523162842,0.0,0.666666667,0.333333333,0.333333333
2010-06-09,1.3300000429153442,,,,
2010-06-10,1.309999942779541,1.0,0.0,0.0,-1.0
2010-06-11,1.2899999618530273,,,,
2010-06-14,1.2799999713897705,,,,
2010-06-15,1.3300000429153442,,,,
2010-06-16,1.2999999523162842,,,,
2010-06-17,1.3700000047683716,,,,
2010-06-18,1.3200000524520874,0.0,1.0,0.0,0.0
2010-06-21,1.309999942779541,,,,
2010-06-22,1.2799999713897705,,,,
2010-06-23,1.2799999713897705,,,,
2010-06-24,1.2400000095367432,,,,
2010-06-25,1.25,,,,
2010-06-28,1.25,,,,
2010-06-29,1.2400000095367432,,,,
2010-06-30,1.2000000476837158,,,,
2010-07-01,1.1299999952316284,0.0,1.0,0.0,0.0
2010-07-02,1.1299999952316284,,,,
2010-07-06,1.090000033378601,,,,
2010-07-07,1.149999976158142,0.0,1.0,0.0,0.0
2010-07-08,1.1699999570846558,,,,
2010-07-09,1.159999966621399,,,,
2010-07-12,1.149999976158142,,,,
2010-07-13,1.1699999570846558,0.0,1.0,0.0,0.0
2010-07-14,1.190000057220459,,,,
2010-07-15,1.2100000381469727,0.0,0.333333333,0.666666667,0.666666667
2010-07-16,1.1299999952316284,0.0,1.0,0.0,0.0
2010-07-19,1.1200000047683716,,,,
2010-07-20,1.1699999570846558,,,,
2010-07-21,1.159999966621399,,,,
2010-07-22,1.190000057220459,,,,
2010-07-23,1.2300000190734863,,,,
2010-07-26,1.340000033378601,,,,
2010-07-27,1.5299999713897705,0.0,0.0,1.0,1.0
2010-07-28,1.5499999523162842,,,,
2010-07-29,1.5099999904632568,0.0,1.0,0.0,0.0
2010-07-30,1.5199999809265137,0.0,1.0,0.0,0.0
2010-08-02,1.559999942779541,,,,
2010-08-03,1.559999942779541,,,,
2010-08-04,1.5099999904632568,,,,
2010-08-05,1.4800000190734863,0.0,1.0,0.0,0.0
2010-08-06,1.5199999809265137,0.0,1.0,0.0,0.0
2010-08-09,1.5199999809265137,,,,
2010-08-10,1.5,,,,
2010-08-11,1.399999976158142,0.0,1.0,0.0,0.0
2010-08-12,1.3899999856948853,0.0,1.0,0.0,0.0
2010-08-13,1.350000023841858,,,,
2010-08-16,1.409999966621399,0.0,0.0,1.0,1.0
2010-08-17,1.4600000381469727,,,,
2010-08-18,1.5,0.0,1.0,0.0,0.0
2010-08-19,1.440000057220459,,,,
2010-08-20,1.409999966621399,,,,
2010-08-23,1.3799999952316284,,,,
2010-08-24,1.350000023841858,,,,
2010-08-25,1.3799999952316284,,,,
2010-08-26,1.3899999856948853,,,,
2010-08-27,1.3600000143051147,,,,
2010-08-30,1.3799999952316284,0.0,1.0,0.0,0.0
2010-08-31,1.3600000143051147,,,,
2010-09-01,1.409999966621399,,,,
2010-09-02,1.3799999952316284,,,,
2010-09-03,1.440000057220459,0.0,1.0,0.0,0.0
2010-09-07,1.5099999904632568,,,,
2010-09-08,1.5199999809265137,0.0,1.0,0.0,0.0
2010-09-09,1.4700000286102295,,,,
2010-09-10,1.4900000095367432,0.0,0.0,1.0,1.0
2010-09-13,1.5399999618530273,,,,
2010-09-14,1.590000033378601,,,,
2010-09-15,1.649999976158142,,,,
2010-09-16,1.590000033378601,,,,
2010-09-17,1.5299999713897705,,,,
2010-09-20,1.5499999523162842,,,,
2010-09-21,1.559999942779541,,,,
2010-09-22,1.5700000524520874,,,,
2010-09-23,1.559999942779541,,,,
2010-09-24,1.6399999856948853,,,,
2010-09-27,1.7599999904632568,,,,
2010-09-28,1.7599999904632568,1.0,0.0,0.0,-1.0
2010-09-29,1.7100000381469727,0.0,1.0,0.0,0.0
2010-09-30,1.649999976158142,0.0,1.0,0.0,0.0
2010-10-01,1.7599999904632568,,,,
2010-10-04,1.7000000476837158,,,,
2010-10-05,1.7300000190734863,0.0,1.0,0.0,0.0
2010-10-06,1.7899999618530273,,,,
2010-10-07,1.850000023841858,,,,
2010-10-08,1.8300000429153442,,,,
2010-10-11,1.8700000047683716,,,,
2010-10-12,1.8200000524520874,0.0,0.0,1.0,1.0
2010-10-13,1.8799999952316284,,,,
2010-10-14,2.0199999809265137,0.0,0.916666667,0.083333333,0.083333333
2010-10-15,2.0,0.0,1.0,0.0,0.0
2010-10-18,2.1500000953674316,0.0,0.333333333,0.666666667,0.666666667
2010-10-19,2.119999885559082,0.0,0.5,0.5,0.5
2010-10-20,2.2100000381469727,,,,
2010-10-21,2.0899999141693115,,,,
2010-10-22,2.1700000762939453,0.0,0.857142857,0.142857143,0.142857143
2010-10-25,2.190000057220459,,,,
2010-10-26,2.140000104904175,,,,
2010-10-27,2.0999999046325684,,,,
2010-10-28,2.069999933242798,,,,
